Element, Terminal, P(kW), Q(kvar),  P_Normal, Q_Normal, P_Emergency, Q_Emergency
"Line.中堡线"              ,   1,         3.6,       -44.1,         0.0,         0.0,         0.0,         0.0
"Line.中堡线"              ,   2,        -3.6,        39.0
"Line.家堡线"              ,   1,        46.9,        30.5,         0.0,         0.0,         0.0,         0.0
"Line.家堡线"              ,   2,       -46.9,       -35.6
"Line.家长线"              ,   1,       -79.2,       -29.1,         0.0,         0.0,         0.0,         0.0
"Line.家长线"              ,   2,        79.2,        24.0
"Line.海中线"              ,   1,       124.6,      -131.2,         0.0,         0.0,         0.0,         0.0
"Line.海中线"              ,   2,      -124.6,       126.1
"Line.中城线"              ,   1,        16.0,        -8.0,         0.0,         0.0,         0.0,         0.0
"Line.中城线"              ,   2,       -16.0,         2.9
"Line.中堡线2"             ,   1,         3.6,       -44.1,         0.0,         0.0,         0.0,         0.0
"Line.中堡线2"             ,   2,        -3.6,        39.0
"Line.中红线"              ,   1,        -3.9,        -0.2,         0.0,         0.0,         0.0,         0.0
"Line.中红线"              ,   2,         3.9,        -4.9
"Line.中新线"              ,   1,       -22.4,        26.3,         0.0,         0.0,         0.0,         0.0
"Line.中新线"              ,   2,        22.4,       -31.4
"Line.中南线"              ,   1,        16.0,        -8.0,         0.0,         0.0,         0.0,         0.0
"Line.中南线"              ,   2,       -16.0,         2.9
"Line.堡竖线"              ,   1,        78.0,         4.4,         0.0,         0.0,         0.0,         0.0
"Line.堡竖线"              ,   2,       -78.0,        -9.5
"Line.堡长线"              ,   1,         5.6,        10.5,         0.0,         0.0,         0.0,         0.0
"Line.堡长线"              ,   2,        -5.6,       -15.6
"Line.家汲线"              ,   1,        28.1,         6.4,         0.0,         0.0,         0.0,         0.0
"Line.家汲线"              ,   2,       -28.1,       -11.5
"Line.家堡线2"             ,   1,        46.9,        30.5,         0.0,         0.0,         0.0,         0.0
"Line.家堡线2"             ,   2,       -46.9,       -35.6
"Line.家长线2"             ,   1,       -79.2,       -29.1,         0.0,         0.0,         0.0,         0.0
"Line.家长线2"             ,   2,        79.2,        24.0
"Line.长江线"              ,   1,       -13.2,        28.3,         0.0,         0.0,         0.0,         0.0
"Line.长江线"              ,   2,        13.2,       -33.4
"Line.崇海线"              ,   1,       102.2,      -102.3,         0.0,         0.0,         0.0,         0.0
"Line.崇海线"              ,   2,      -102.2,        97.2
"Line.双东线"              ,   1,         7.9,        -5.5,         0.0,         0.0,         0.0,         0.0
"Line.双东线"              ,   2,        -7.9,         0.4
"Line.双庙线"              ,   1,         1.6,         0.6,         0.0,         0.0,         0.0,         0.0
"Line.双庙线"              ,   2,        -1.6,        -5.8
"Line.园区线"              ,   1,        17.4,        -6.5,         0.0,         0.0,         0.0,         0.0
"Line.园区线"              ,   2,       -17.4,         1.4
"Line.双明线"              ,   1,        17.4,        -6.5,         0.0,         0.0,         0.0,         0.0
"Line.双明线"              ,   2,       -17.4,         1.4
"Line.双建线"              ,   1,         7.0,        -9.1,         0.0,         0.0,         0.0,         0.0
"Line.双建线"              ,   2,        -7.0,         4.0
"Line.双湄线"              ,   1,        21.7,        -6.6,         0.0,         0.0,         0.0,         0.0
"Line.双湄线"              ,   2,       -21.7,         1.5
"Line.双同线"              ,   1,        21.7,        -6.6,         0.0,         0.0,         0.0,         0.0
"Line.双同线"              ,   2,       -21.7,         1.5
"Line.双南线"              ,   1,        16.0,        -8.0,         0.0,         0.0,         0.0,         0.0
"Line.双南线"              ,   2,       -16.0,         2.9
"Line.堡线"              ,   1,         6.0,       -13.4,         0.0,         0.0,         0.0,         0.0
"Line.堡线"              ,   2,        -6.0,         8.2
"Line.堡镇线"              ,   1,         1.2,        -3.9,         0.0,         0.0,         0.0,         0.0
"Line.堡镇线"              ,   2,        -1.2,        -1.2
"Line.堡船线"              ,   1,         1.2,        -3.9,         0.0,         0.0,         0.0,         0.0
"Line.堡船线"              ,   2,        -1.2,        -1.2
"Line.堡港线"              ,   1,         6.3,        -1.8,         0.0,         0.0,         0.0,         0.0
"Line.堡港线"              ,   2,        -6.3,        -3.3
"Line.家裕线"              ,   1,        11.0,        -3.2,         0.0,         0.0,         0.0,         0.0
"Line.家裕线"              ,   2,       -11.0,        -1.9
"Line.家前线"              ,   1,        11.0,        -3.2,         0.0,         0.0,         0.0,         0.0
"Line.家前线"              ,   2,       -11.0,        -1.9
"Line.家陈线"              ,   1,        11.0,        -3.2,         0.0,         0.0,         0.0,         0.0
"Line.家陈线"              ,   2,       -11.0,        -1.9
"Line.南同线"              ,   1,         5.7,        -1.1,         0.0,         0.0,         0.0,         0.0
"Line.南同线"              ,   2,        -5.7,        -4.0
"Line.南湄线"              ,   1,         5.7,        -1.1,         0.0,         0.0,         0.0,         0.0
"Line.南湄线"              ,   2,        -5.7,        -4.0
"Line.南明线"              ,   1,         1.4,        -1.1,         0.0,         0.0,         0.0,         0.0
"Line.南明线"              ,   2,        -1.4,        -4.1
"Line.南园线"              ,   1,         1.4,        -1.1,         0.0,         0.0,         0.0,         0.0
"Line.南园线"              ,   2,        -1.4,        -4.1
"Line.南安线"              ,   1,        13.0,        -2.4,         0.0,         0.0,         0.0,         0.0
"Line.南安线"              ,   2,       -13.0,        -2.7
"Line.轧钢线"              ,   1,        13.0,        -2.4,         0.0,         0.0,         0.0,         0.0
"Line.轧钢线"              ,   2,       -13.0,        -2.7
"Line.海进线"              ,   1,        28.7,         9.2,         0.0,         0.0,         0.0,         0.0
"Line.海进线"              ,   2,       -28.7,       -14.3
"Line.星新线"              ,   1,        18.5,       -29.0,         0.0,         0.0,         0.0,         0.0
"Line.星新线"              ,   2,       -18.5,        23.9
"Line.海三线"              ,   1,        12.6,       -17.3,         0.0,         0.0,         0.0,         0.0
"Line.海三线"              ,   2,       -12.6,        12.2
"Line.红海线"              ,   1,        18.5,       -29.0,         0.0,         0.0,         0.0,         0.0
"Line.红海线"              ,   2,       -18.5,        23.9
"Line.红庙站"              ,   1,         5.5,        -1.8,         0.0,         0.0,         0.0,         0.0
"Line.红庙站"              ,   2,        -5.5,        -3.4
"Line.红风线"              ,   1,        11.8,        -7.9,         0.0,         0.0,         0.0,         0.0
"Line.红风线"              ,   2,       -11.8,         2.7
"Line.长卫线"              ,   1,        10.8,        -2.9,         0.0,         0.0,         0.0,         0.0
"Line.长卫线"              ,   2,       -10.8,        -2.2
"Line.长前线"              ,   1,         5.7,       -10.2,         0.0,         0.0,         0.0,         0.0
"Line.长前线"              ,   2,        -5.7,         5.0
"Line.竖富线"              ,   1,        35.4,         3.8,         0.0,         0.0,         0.0,         0.0
"Line.竖富线"              ,   2,       -35.4,        -9.0
"Line.竖新线"              ,   1,        35.4,         3.8,         0.0,         0.0,         0.0,         0.0
"Line.竖新线"              ,   2,       -35.4,        -9.0
"Line.汲线"              ,   1,        24.9,        10.7,         0.0,         0.0,         0.0,         0.0
"Line.汲线"              ,   2,       -24.9,       -15.9
"Line.建森线"              ,   1,         1.2,        -3.9,         0.0,         0.0,         0.0,         0.0
"Line.建森线"              ,   2,        -1.2,        -1.2
"Line.庙三线"              ,   1,        11.4,       -13.4,         0.0,         0.0,         0.0,         0.0
"Line.庙三线"              ,   2,       -11.4,         8.3
"Line.风启线"              ,   1,         1.2,        -3.9,         0.0,         0.0,         0.0,         0.0
"Line.风启线"              ,   2,        -1.2,        -1.2
"Line.港前线"              ,   1,        -5.1,        -7.3,         0.0,         0.0,         0.0,         0.0
"Line.港前线"              ,   2,         5.1,         2.1
"Load.南通海门变"            ,   1,      -203.4,       -60.8
"Load.长兴站"              ,   1,      -158.3,       -47.9
"Load.中双港站"             ,   1,         1.2,         0.3
"Load.堡北站"              ,   1,         2.9,         1.4
"Load.陈家镇站"             ,   1,         3.4,         0.6
"Load.红星站"              ,   1,         2.6,         0.2
"Load.南门站"              ,   1,         7.9,         0.5
"Load.新海站"              ,   1,         1.6,         0.3
"Load.长江站"              ,   1,         2.2,         0.5
"Load.竖河站"              ,   1,         7.1,         1.8
"Load.汲浜站"              ,   1,         3.2,         0.8
"Load.建设站"              ,   1,         5.8,        -0.0
"Load.大同站"              ,   1,        27.4,         2.6
"Load.新河站"              ,   1,        35.4,         9.0
"Load.堡镇站"              ,   1,         1.2,         1.2
"Load.陈东站"              ,   1,        11.0,         1.9
"Load.森林站"              ,   1,         1.2,         1.2
"Load.湄洲站"              ,   1,        27.4,         2.6
"Load.崇安站"              ,   1,        13.0,         2.7
"Load.新闸站"              ,   1,        13.0,         2.7
"Load.跃进站"              ,   1,        28.7,        14.3
"Load.富盛站"              ,   1,        35.4,         9.0
"Load.上船站"              ,   1,         1.2,         1.2
"Load.明珠站"              ,   1,        18.7,         2.6
"Load.三星站"              ,   1,         1.2,         1.2
"Load.东风站"              ,   1,        18.5,         0.8
"Load.裕安站"              ,   1,        11.0,         1.9
"Load.前哨站"              ,   1,        11.0,         1.9
"Load.园区站"              ,   1,        18.7,         2.6
"Load.启隆站"              ,   1,         1.2,         1.2
"Load.前进站"              ,   1,        10.8,         2.2
"Load.港沿站"              ,   1,         1.2,         1.2
"Load.庙镇站"              ,   1,        18.5,         0.8
"Load.前卫站"              ,   1,        10.8,         2.2
"Load.五站"              ,   1,        30.9,         7.6
